date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:21	209/209	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:14:20%20GMT	http://weaintplastic.com/favicon.ico	//Mac/Home/Desktop/Web/web234/weaintplastic.com/favicon.ico	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:14:32	150938/150938	---M-Z	200	added ('OK')	text/css	etag:%225760f6a-24d9a-518b46814c9f0;53338098e42a3%22	http://weaintplastic.com/work/assets/css/styles.min.css	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/css/styles.min.css	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:14:33	4250/4250	---M-Z	200	added ('OK')	application/javascript	etag:%22576231e-109a-518b255def925;53338098e42a3%22	http://weaintplastic.com/work/assets/js/respond.min.js	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/js/respond.min.js	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:14:33	11133/11133	---M-Z	200	added ('OK')	application/javascript	etag:%22576231b-2b7d-518b255c99c59;53338098e42a3%22	http://weaintplastic.com/work/assets/js/modernizr.min.js	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/js/modernizr.min.js	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:14:45	28896/28896	---M--	200	added ('OK')	image/png	etag:%225761dc1-70e0-5188182861b65;53338098e42a3%22	http://weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/ux-anatomy.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/ux-anatomy.png	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:14:46	163/163	---M--	200	added ('OK')	image/png	etag:%225761dba-a3-518817fbbbebb;53338098e42a3%22	http://weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/dev-flow-bg.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/dev-flow-bg.png	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:14:58	9962/9962	---M--	200	added ('OK')	image/png	etag:%225761dbb-26ea-518817fdf34f0;53338098e42a3%22	http://weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/dev-flow.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/dev-flow.png	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:15:09	25601/25601	---M--	200	added ('OK')	image/png	etag:%225761dc0-6401-518818279a7de;53338098e42a3%22	http://weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/user-flow.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/user-flow.png	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:15:21	71831/71831	---M--	200	added ('OK')	image/gif	etag:%225761dbd-11897-51881807e440f;53338098e42a3%22	http://weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/inline-validation.gif	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/inline-validation.gif	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
12:15:46	214920/214920	---M--	200	added ('OK')	image/gif	etag:%225761db9-34788-518817fb52737;53338098e42a3%22	http://weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/conversational-form.gif	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/assets/img/content/expedia-meeting-market-onboarding/conversational-form.gif	(from http://weaintplastic.com/work/expedia-meeting-market-onboarding)
